id,url,head_code,name
1,https://icd.who.int/browse10/2019/en#/A00-A09,A00,Cholera
2,https://icd.who.int/browse10/2019/en#/A00-A09,A01,Typhoid and paratyphoid fevers
3,https://icd.who.int/browse10/2019/en#/A00-A09,A02,Other salmonella infections
4,https://icd.who.int/browse10/2019/en#/A00-A09,A03,Shigellosis
5,https://icd.who.int/browse10/2019/en#/A00-A09,A04,Other bacterial intestinal infections
6,https://icd.who.int/browse10/2019/en#/A00-A09,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
7,https://icd.who.int/browse10/2019/en#/A00-A09,A06,Amoebiasis
8,https://icd.who.int/browse10/2019/en#/A00-A09,A07,Other protozoal intestinal diseases
9,https://icd.who.int/browse10/2019/en#/A00-A09,A08,Viral and other specified intestinal infections
10,https://icd.who.int/browse10/2019/en#/A00-A09,A09,Other gastroenteritis and colitis of infectious and unspecified origin
11,https://icd.who.int/browse10/2019/en#/A15-A19,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
12,https://icd.who.int/browse10/2019/en#/A15-A19,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
13,https://icd.who.int/browse10/2019/en#/A15-A19,A17,Tuberculosis of nervous system
14,https://icd.who.int/browse10/2019/en#/A15-A19,A18,Tuberculosis of other organs
15,https://icd.who.int/browse10/2019/en#/A15-A19,A19,Miliary tuberculosis
16,https://icd.who.int/browse10/2019/en#/A20-A28,A20,Plague
17,https://icd.who.int/browse10/2019/en#/A20-A28,A21,Tularaemia
18,https://icd.who.int/browse10/2019/en#/A20-A28,A22,Anthrax
19,https://icd.who.int/browse10/2019/en#/A20-A28,A23,Brucellosis
20,https://icd.who.int/browse10/2019/en#/A20-A28,A24,Glanders and melioidosis
21,https://icd.who.int/browse10/2019/en#/A20-A28,A25,Rat-bite fevers
22,https://icd.who.int/browse10/2019/en#/A20-A28,A26,Erysipeloid
23,https://icd.who.int/browse10/2019/en#/A20-A28,A27,Leptospirosis
24,https://icd.who.int/browse10/2019/en#/A20-A28,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
25,https://icd.who.int/browse10/2019/en#/A30-A49,A30,Leprosy [Hansen disease]
26,https://icd.who.int/browse10/2019/en#/A30-A49,A31,Infection due to other mycobacteria
27,https://icd.who.int/browse10/2019/en#/A30-A49,A32,Listeriosis
28,https://icd.who.int/browse10/2019/en#/A30-A49,A33,Tetanus neonatorum
29,https://icd.who.int/browse10/2019/en#/A30-A49,A34,Obstetrical tetanus
30,https://icd.who.int/browse10/2019/en#/A30-A49,A35,Other tetanus
31,https://icd.who.int/browse10/2019/en#/A30-A49,A36,Diphtheria
32,https://icd.who.int/browse10/2019/en#/A30-A49,A37,Whooping cough
33,https://icd.who.int/browse10/2019/en#/A30-A49,A38,Scarlet fever
34,https://icd.who.int/browse10/2019/en#/A30-A49,A39,Meningococcal infection
35,https://icd.who.int/browse10/2019/en#/A30-A49,A40,Streptococcal sepsis
36,https://icd.who.int/browse10/2019/en#/A30-A49,A41,Other sepsis
37,https://icd.who.int/browse10/2019/en#/A30-A49,A42,Actinomycosis
38,https://icd.who.int/browse10/2019/en#/A30-A49,A43,Nocardiosis
39,https://icd.who.int/browse10/2019/en#/A30-A49,A44,Bartonellosis
40,https://icd.who.int/browse10/2019/en#/A30-A49,A46,Erysipelas
41,https://icd.who.int/browse10/2019/en#/A30-A49,A48,"Other bacterial diseases, not elsewhere classified"
42,https://icd.who.int/browse10/2019/en#/A30-A49,A49,Bacterial infection of unspecified site
43,https://icd.who.int/browse10/2019/en#/A50-A64,A50,Congenital syphilis
44,https://icd.who.int/browse10/2019/en#/A50-A64,A51,Early syphilis
45,https://icd.who.int/browse10/2019/en#/A50-A64,A52,Late syphilis
46,https://icd.who.int/browse10/2019/en#/A50-A64,A53,Other and unspecified syphilis
47,https://icd.who.int/browse10/2019/en#/A50-A64,A54,Gonococcal infection
48,https://icd.who.int/browse10/2019/en#/A50-A64,A55,Chlamydial lymphogranuloma (venereum)
49,https://icd.who.int/browse10/2019/en#/A50-A64,A56,Other sexually transmitted chlamydial diseases
